46|59|1440|safari|1
46|59|1440|safari|1
56|61|1440|safari|1
146|55|1440|safari|1
156|50|1440|safari|1
25|59|1440|safari|1
22|59|1440|safari|1
42|61|1440|safari|1
52|57|1440|safari|1
50|57|1440|safari|1
53|57|1440|safari|1
84|60|1440|safari|1
155|55|1440|safari|1
199|64|1440|safari|1
186|55|1440|safari|1
39|64|1440|safari|1
40|52|1440|safari|1
76|55|1440|safari|1
43|51|1440|safari|1
24|72|1440|safari|1
63|57|1440|safari|1
84|55|1440|safari|1
55|54|1440|safari|1
40|54|1440|safari|1
54|57|1440|safari|1
54|58|1440|safari|1
34|61|1440|safari|1
75|60|1440|safari|1
52|48|1440|safari|1
51|63|1440|safari|1
84|66|1440|safari|1
46|58|1440|safari|1
27|49|1440|safari|1
37|60|1440|safari|1
79|52|1440|safari|1
73|59|1440|safari|1
73|59|1440|safari|1
73|59|1440|safari|1
73|59|1440|safari|1
73|59|1440|safari|1
60|53|1440|safari|1
37|56|1440|safari|1
52|47|1440|safari|1
49|57|1440|safari|1
45|51|1440|safari|1
52|54|1440|safari|1
76|54|1440|safari|1
42|54|1440|safari|1
39|53|1440|safari|1
55|56|1440|safari|1
67|50|1440|safari|1
75|65|1440|safari|1
9|69|1440|safari|1
23|60|1440|safari|1
67|56|1440|safari|1
52|56|1440|safari|1
76|54|1440|safari|1
66|48|1440|safari|1
61|66|1440|safari|1
51|54|1440|safari|1
37|60|1440|safari|1
36|53|1440|safari|1
43|50|1440|safari|1
86|67|1440|safari|1
77|63|1440|safari|1
73|61|1440|safari|1
71|60|1440|safari|1
64|55|1440|safari|1
61|52|1440|safari|1
59|50|1440|safari|1
59|57|1440|safari|1
45|59|1440|safari|1
44|59|1440|safari|1
61|57|1440|safari|1
81|58|1440|safari|1
67|54|1440|safari|1
57|55|1440|safari|1
47|58|1440|safari|1
39|56|1440|safari|1
64|52|1440|safari|1
75|62|1440|safari|1
54|63|1440|safari|1
38|64|1440|safari|1
38|55|1440|safari|1
71|49|1440|safari|1
78|63|1440|safari|1
87|63|1440|safari|1
56|54|1440|safari|1
34|51|1440|safari|1
28|54|1440|safari|1
24|60|1440|safari|1
53|64|1440|safari|1
70|66|1440|safari|1
62|61|1440|safari|1
41|56|1440|safari|1
71|55|1440|safari|1
83|61|1440|safari|1
67|63|1440|safari|1
60|57|1440|safari|1
44|53|1440|safari|1
31|55|1440|safari|1
