Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000btwv,8,"Friday, August 10, 2012 06:57:24 UTC",68.2842,-136.2249,4.3,14.80,134,"northern Yukon Territory, Canada"
us,b000btw8,7,"Friday, August 10, 2012 05:56:36 UTC",-6.9272,154.6715,4.7,72.00,62,"Bougainville region, Papua New Guinea"
ak,10532292,2,"Friday, August 10, 2012 05:41:59 UTC",58.9539,-152.8308,3.0,65.70,78,"Kodiak Island region, Alaska"
us,b000btvn,A,"Friday, August 10, 2012 04:41:42 UTC",1.9336,97.0120,5.3,23.30,143,"Nias region, Indonesia"
us,b000btvk,7,"Friday, August 10, 2012 04:27:20 UTC",11.3304,-87.7485,4.9,37.20,385,"near the coast of Nicaragua"
ak,10532240,2,"Friday, August 10, 2012 02:22:48 UTC",52.8046,-170.7685,3.3,216.80,30,"Fox Islands, Aleutian Islands, Alaska"
us,b000btrx,6,"Friday, August 10, 2012 02:19:20 UTC",1.3978,126.9401,5.0,61.60,82,"Molucca Sea"
ci,15190281,2,"Friday, August 10, 2012 02:09:50 UTC",36.0522,-117.6102,2.8,1.90,29,"Central California"
ak,10532196,3,"Friday, August 10, 2012 01:03:04 UTC",52.0435,-175.5671,3.1,161.80,23,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000btqp,5,"Friday, August 10, 2012 00:33:10 UTC",-14.1818,167.2856,4.7,214.10,108,"Vanuatu"
us,b000btqn,5,"Friday, August 10, 2012 00:30:09 UTC",-19.8320,41.2833,4.7,10.00,33,"Mozambique Channel"
us,b000btq4,7,"Thursday, August  9, 2012 23:45:58 UTC",18.9336,-69.5002,4.1,46.00,42,"Dominican Republic"
us,b000btq7,4,"Thursday, August  9, 2012 23:45:01 UTC",33.4476,59.3819,4.1,10.10,32,"eastern Iran"
ak,10532156,1,"Thursday, August  9, 2012 23:43:22 UTC",63.4123,-145.0340,2.5,12.30,26,"Central Alaska"
ak,10531826,1,"Thursday, August  9, 2012 20:36:09 UTC",61.2299,-147.6047,2.8,6.70,56,"Southern Alaska"
us,b000btd9,C,"Thursday, August  9, 2012 19:31:30 UTC",-38.0097,177.7955,4.6,58.90,27,"North Island of New Zealand"
us,b000btea,5,"Thursday, August  9, 2012 19:15:39 UTC",13.1753,-90.9977,4.3,56.00,79,"offshore Guatemala"
ak,10531730,2,"Thursday, August  9, 2012 17:33:00 UTC",60.3764,-147.5432,2.8,4.00,60,"Southern Alaska"
ak,10531690,2,"Thursday, August  9, 2012 16:43:25 UTC",60.3408,-147.5182,4.9,10.70,31,"Southern Alaska"
us,b000bt5w,4,"Thursday, August  9, 2012 16:14:43 UTC",-6.1591,-80.5925,4.3,37.90,18,"near the coast of northern Peru"
nc,71828881,B,"Thursday, August  9, 2012 15:24:26 UTC",40.7633,-125.1967,4.4,24.80,83,"offshore Northern California"
ak,10531617,1,"Thursday, August  9, 2012 15:18:44 UTC",59.5698,-149.6316,2.7,24.20,36,"Kenai Peninsula, Alaska"
us,b000bt48,7,"Thursday, August  9, 2012 15:03:07 UTC",-59.7769,-28.1803,5.4,150.20,80,"South Sandwich Islands region"
us,b000bt1f,6,"Thursday, August  9, 2012 13:12:00 UTC",28.3279,86.6101,4.8,35.10,77,"western Xizang"
us,b000bt0m,8,"Thursday, August  9, 2012 12:36:29 UTC",13.3740,-90.0918,4.7,73.40,250,"offshore El Salvador"
ci,15189873,2,"Thursday, August  9, 2012 12:09:32 UTC",35.4065,-116.8987,2.9,7.70,56,"Southern California"
us,b000bszw,7,"Thursday, August  9, 2012 12:00:58 UTC",6.4604,-71.9687,4.6,27.90,174,"northern Colombia"
us,b000bsz3,8,"Thursday, August  9, 2012 11:04:25 UTC",-8.7978,116.3431,5.2,117.00,110,"Lombok region, Indonesia"
pr,12222003,0,"Thursday, August  9, 2012 10:46:46 UTC",19.1298,-67.7368,3.2,36.00, 6,"Puerto Rico region"
pr,12222002,0,"Thursday, August  9, 2012 10:23:04 UTC",18.1870,-68.3845,3.8,140.00,17,"Mona Passage, Dominican Republic"
ak,10531516,2,"Thursday, August  9, 2012 09:08:42 UTC",51.6640,177.1535,2.5,49.00, 6,"Rat Islands, Aleutian Islands, Alaska"
ak,10531515,1,"Thursday, August  9, 2012 09:07:16 UTC",57.2072,-157.7629,2.5,5.20, 8,"Alaska Peninsula"
us,b000bswl,6,"Thursday, August  9, 2012 08:59:23 UTC",-1.1583,-24.1030,4.9,10.00,113,"central Mid-Atlantic Ridge"
us,b000bsv6,B,"Thursday, August  9, 2012 08:10:57 UTC",45.1799,150.4532,4.6,49.30,112,"Kuril Islands"
us,b000bsv2,9,"Thursday, August  9, 2012 08:10:43 UTC",-23.1881,179.2645,4.5,543.20,48,"south of the Fiji Islands"
nn,00385430,9,"Thursday, August  9, 2012 07:17:05 UTC",38.4942,-118.4889,2.6,10.10,19,"Nevada"
us,b000bstp,9,"Thursday, August  9, 2012 07:09:46 UTC",-33.1277,-15.8708,5.2,10.10,95,"southern Mid-Atlantic Ridge"
us,b000bssg,6,"Thursday, August  9, 2012 05:49:57 UTC",30.2442,94.8968,4.8,31.30,90,"eastern Xizang"
us,b000bssc,4,"Thursday, August  9, 2012 05:41:04 UTC",-22.6199,-68.3400,4.0,102.50,13,"Antofagasta, Chile"
ak,10531470,1,"Thursday, August  9, 2012 04:36:16 UTC",59.5594,-149.8627,2.6,12.10,26,"Kenai Peninsula, Alaska"
us,b000bsr9,B,"Thursday, August  9, 2012 04:18:18 UTC",44.5742,-129.5947,4.5,10.00,194,"off the coast of Oregon"
us,b000bsqs,3,"Thursday, August  9, 2012 03:20:45 UTC",-10.5654,165.8617,4.3,172.00,44,"Santa Cruz Islands"
pr,12222001,0,"Thursday, August  9, 2012 02:36:49 UTC",18.7618,-64.3851,2.6,44.00, 5,"Virgin Islands region"
us,b000bsqa,B,"Thursday, August  9, 2012 02:34:41 UTC",19.9023,-109.1400,5.6,9.60,326,"Revilla Gigedo Islands region"
us,b000bspz,5,"Thursday, August  9, 2012 01:55:13 UTC",-4.5276,103.4057,4.6,58.70,29,"southern Sumatra, Indonesia"
ak,10531401,2,"Thursday, August  9, 2012 01:41:54 UTC",52.6394,-168.2326,2.6,25.60,12,"Fox Islands, Aleutian Islands, Alaska"
pr,12222000,0,"Thursday, August  9, 2012 00:04:55 UTC",19.4612,-65.8895,3.3,36.00,10,"Puerto Rico region"
nc,71828646,3,"Wednesday, August  8, 2012 23:27:15 UTC",38.8333,-122.8798,2.6,2.60,100,"Northern California"
us,b000bslc,5,"Wednesday, August  8, 2012 22:42:11 UTC",-55.7795,-26.0946,5.3,20.10,44,"South Sandwich Islands region"
ci,15189417,3,"Wednesday, August  8, 2012 19:22:13 UTC",33.9033,-117.7843,2.6,8.70,162,"Greater Los Angeles area, California"
us,b000bs51,G,"Wednesday, August  8, 2012 17:45:33 UTC",44.4305,-128.6390,4.9,10.00,325,"off the coast of Oregon"
ci,15189369,5,"Wednesday, August  8, 2012 17:36:25 UTC",33.9042,-117.7813,2.8,9.10,158,"Greater Los Angeles area, California"
ak,10529554,2,"Wednesday, August  8, 2012 17:15:43 UTC",52.7046,-168.2255,2.5,21.60,11,"Fox Islands, Aleutian Islands, Alaska"
ak,10529552,3,"Wednesday, August  8, 2012 16:59:26 UTC",52.7143,-168.2666,2.8,23.60,17,"Fox Islands, Aleutian Islands, Alaska"
ci,15189321,3,"Wednesday, August  8, 2012 16:51:04 UTC",33.9005,-117.7890,3.4,9.50,205,"Greater Los Angeles area, California"
ak,10533655,2,"Wednesday, August  8, 2012 16:41:11 UTC",56.4668,-152.9707,2.6,7.00,22,"Kodiak Island region, Alaska"
ci,15189281,9,"Wednesday, August  8, 2012 16:33:22 UTC",33.9035,-117.7907,4.5,10.40,237,"Greater Los Angeles area, California"
us,2012eaax,4,"Wednesday, August  8, 2012 16:14:04 UTC",-6.2867,146.6117,4.7,104.80,19,"eastern New Guinea region, Papua New Guinea"
