Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000bv6g,6,"Sunday, August 12, 2012 06:40:48 UTC",38.6513,46.8211,4.4,9.70,40,"northwestern Iran"
us,b000bv6d,8,"Sunday, August 12, 2012 06:32:40 UTC",28.4932,128.4107,4.7,127.60,91,"Ryukyu Islands, Japan"
ci,15191201,5,"Sunday, August 12, 2012 06:22:03 UTC",32.1087,-115.0997,3.5,10.00,21,"Baja California, Mexico"
us,b000bv63,6,"Sunday, August 12, 2012 05:59:25 UTC",-7.7810,127.1677,4.7,183.40,39,"Kepulauan Barat Daya, Indonesia"
pr,12225004,0,"Sunday, August 12, 2012 05:03:00 UTC",18.7975,-65.1167,2.8,14.00, 5,"Virgin Islands region"
ak,10533330,2,"Sunday, August 12, 2012 04:57:21 UTC",52.4510,-166.8050,2.6,21.00, 9,"Fox Islands, Aleutian Islands, Alaska"
pr,12225002,0,"Sunday, August 12, 2012 04:53:46 UTC",19.5174,-67.9667,3.7,103.00, 8,"Dominican Republic region"
us,b000bv5p,6,"Sunday, August 12, 2012 04:25:22 UTC",38.2329,46.9907,4.0,5.20,20,"northwestern Iran"
pr,12225001,0,"Sunday, August 12, 2012 03:58:34 UTC",18.2203,-66.4260,2.5,8.00, 7,"Puerto Rico"
pr,12225000,0,"Sunday, August 12, 2012 03:19:30 UTC",19.1658,-65.7099,3.3,119.00, 9,"Puerto Rico region"
us,b000bv4u,6,"Sunday, August 12, 2012 02:18:55 UTC",19.6632,-109.3380,4.0,10.00,59,"Revilla Gigedo Islands region"
us,b000bv4b,5,"Sunday, August 12, 2012 01:21:36 UTC",41.7000,16.2400,4.1,28.00, 0,"southern Italy"
us,b000bv31,7,"Saturday, August 11, 2012 23:41:03 UTC",44.6258,149.2472,4.7,49.80,152,"Kuril Islands"
ci,15191097,2,"Saturday, August 11, 2012 23:07:52 UTC",34.1358,-117.0107,2.6,8.30,154,"Southern California"
us,b000bv2p,6,"Saturday, August 11, 2012 23:00:16 UTC",37.8771,46.3818,4.2,10.00,23,"northwestern Iran"
mb,12440900,2,"Saturday, August 11, 2012 22:58:21 UTC",45.6158,-111.7366,2.5,7.10,34,"western Montana"
us,b000bv1x,8,"Saturday, August 11, 2012 22:24:03 UTC",38.3987,46.7197,5.1,9.70,222,"northwestern Iran"
pr,12224004,0,"Saturday, August 11, 2012 22:22:48 UTC",18.8325,-64.4824,3.4,114.00, 4,"Virgin Islands region"
ak,10533213,2,"Saturday, August 11, 2012 22:20:34 UTC",52.3969,-174.1425,2.6,181.90,13,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10533204,2,"Saturday, August 11, 2012 21:57:02 UTC",52.3714,-166.9074,2.5,5.20, 9,"Fox Islands, Aleutian Islands, Alaska"
us,b000bv0y,6,"Saturday, August 11, 2012 21:54:43 UTC",37.5711,20.9567,4.4,10.00,84,"Ionian Sea"
ak,10533205,2,"Saturday, August 11, 2012 21:54:07 UTC",51.7752,-171.3393,3.0,33.40,10,"Fox Islands, Aleutian Islands, Alaska"
us,b000bv0t,6,"Saturday, August 11, 2012 21:41:46 UTC",53.6186,-165.1921,4.5,43.20,94,"Fox Islands, Aleutian Islands, Alaska"
us,b000buyz,6,"Saturday, August 11, 2012 20:45:02 UTC",55.6107,-158.2807,3.7,29.10, 0,"Alaska Peninsula"
pr,12224003,0,"Saturday, August 11, 2012 20:33:30 UTC",18.1606,-64.1751,2.8,44.00, 8,"Virgin Islands region"
